Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Invert,Mollusca,Cephalopoda,Endoceridae,Endoceras giganteum,species,Paleozoic,Ordovician,Middle Ordovician,,Ordovician,Upper Ordovician,,Klug et al. 2014,9.00,TL,Klug et al. 2014,New York,Micropredator,Pelagic,Oceanic,"giant suspension feeder, significant role in ecosystems; Endocerida: largest nautiloids (up to 9m), long straight shell (orthocone), nektonic swimmers, reaching depths of 300-500m, largest forms confined to benthos",Mironenko 2018; Mid-America Palaeontology Society 1992,"gradual decrease in diversity, extinct in Silurian; predator-driven evolution (large cephalopods, early gnathostome fishes)",Mid-America Palaeontology Society 1992; Kiel et al. 2022,,Sheldon,
Invert,Mollusca,Merostomata,Eurypterida,Erettopterus grandis,species,Paleozoic,Silurian,Pridoli,Pridoli,Silurian,Pridoli,Pridoli,Brandt 2021,2.50,maximum length,Brandt 2021,,Macropredator,Benthic,Coastal,"Eurypteraceae, Pterygotidae; predator, but not as highly specialized or active (genus, but small specimen)",McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"423 – 419.2; PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Mollusca,Merostomata,Eurypterida,Hallipterus excelsior,species,Paleozoic,Devonian,Upper Devonian,Frasnian,Devonian,Upper Devonian,Famennian,Kjellesvig-Waering 1963; Brandt 2021,1.00,maximum length,Brandt 2021,,Micropredator,Benthic,Coastal,Stylonurina; benthic scavengers / benthic sweep-feeders,Lamsdell & Braddy 2009,Permian-Triassic extinction event,Lamsdell & Braddy 2009,"372.2 – 358.9; PBDB; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Mollusca,Merostomata,Eurypterida,Hibbertopterus permianus,species,Paleozoic,Permian,Cisuralian,Kungurian,Permian,Lopingian,Changhsingian,Ponomarenko 1986; Brandt 2021,1.40,maximum length,Brandt 2021,,Micropredator,Benthic,Coastal,Stylonurina; benthic scavengers / benthic sweep-feeders,Lamsdell & Braddy 2009,Permian-Triassic extinction event,Lamsdell & Braddy 2009,"254.1 – 251.9; PBDB; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Mollusca,Merostomata,Eurypterida,Hibbertopterus scouleri,species,Paleozoic,Carboniferous,Mississippian,Visean,Carboniferous,Mississippian,Visean,Brandt 2021,1.80,maximum length,Brandt 2021,,Micropredator,Benthic,Coastal,Stylonurina; benthic scavengers / benthic sweep-feeders,Lamsdell & Braddy 2009,Permian-Triassic extinction event,Lamsdell & Braddy 2009,"346.7 – 330.9; no age PBDB; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Mollusca,Trilobita,Asaphida,Hungioides bohemicus,species,Paleozoic,Ordovician,Lower Ordovician,,Ordovician,Upper Ordovician,,Gutiérrez-Marco et al. 2009,0.90,TL,Gutiérrez-Marco et al. 2009,"France, Madagascar",Macropredator,Benthic,Coastal,polymerid morphology: benthic to nektobenthic,Babcock et al. 2017,Permian mass extinction,Pais 2004,,Sheldon,
Invert,Mollusca,Bivalvia,Pteriida,Inoceramus steenstrupi,species,Mesozoic,Jurassic,Lower Jurassic,,Cretaceous,Upper Cretaceous,Maastrichtian,Ward et al. 1991,1.87,Diameter,"JELETZKY, J. A. 1970","Ottawa, Canada",Micropredator,Benthic,Coastal,,,Replaced by another species,Ward et al. 1991,"No pdf (to be boutgh), size stated without evidence, ",Sheldon,
Invert,Mollusca,Trilobita,Asaphida,Isotelus rex,species,Paleozoic,Ordovician,Lower Ordovician,,Silurian,,,Rudkin et al. 2003,0.72,TL,Rudkin et al. 2003,,Macropredator,Benthic,Coastal,polymerid morphology: benthic to nektobenthic,Babcock et al. 2017,Permian mass extinction,Pais 2004,"Fossil well preserved, close to real size",Sheldon,
Invert,Mollusca,Merostomata,Eurypterida,Jaekelopterus rhenaniae,species,Paleozoic,Devonian,Lower Devonian,Pragian,Devonian,Lower Devonian,Emsian,Brandt 2021,2.50,maximum length,Brandt 2021,,Macropredator,Benthic,Coastal,"Eurypteracea, Pterygotidae; active visual predator (high visual acuity + chelicerae enlarged and robust)",McCoy et al. 2015,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"410.8 – 393.3; PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Mollusca,Cephalopoda,Vampyromorphida,Leptoteuthis gigas,species,Mesozoic,Jurassic,Upper Jurassic,Tithonian?,Jurassic,Upper Jurassic,Tithonian,"Frickhinger 1994, S. 91",1.06,length,"Frickhinger 1994, S. 91",Europe,Macropredator,Pelagic,Oceanic,,,,,K: No info in PBDB,SR,
Invert,Arthropoda,Merostomata,Eurypterida,Megalograptus shiderleri,species,Paleozoic,Ordovician,Upper Ordovician,Katian,Ordovician,,Katian,Brandt 2021,2.00,maximum length,Brandt 2021,,Macropredator,Benthic,Coastal,"Eurypteracea, Megalograptidae; nektonic predators?",,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"445.2 – 443.8; PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Arthropoda,Merostomata,Eurypterida,Megalograptus welchi,species,Paleozoic,Ordovician,Upper Ordovician,Katian,Ordovician,Upper Ordovician,Katian,Brandt 2021,1.50,maximum length,Brandt 2021,,Macropredator,Benthic,Coastal,"Eurypteracea, Megalograptidae; nektonic predators?",,"competition from jawed vertebrates and other predators, nektonic predators niche, decline in Devonian",Lamsdell & Braddy 2009,"445.2 – 443.8; PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Arthropoda,Cephalopoda,Belemnitida,Megateuthis gigantea,species,Mesozoic,Jurassic,Lower Jurassic,,Jurassic,Middle Jurassic,,Dzyuba et al. 2019,5.00,TL,"Cox, B M. 1995",,Macropredator,Pelagic,Coastal,,,,,"no paper found from this date but other from the author, source is beritish geological survey.; K: The habitat is uncertain, however based on what I could find regarding the localites for Megatheutis fossils coastal seems more likely.",Sheldon,
Invert,Arthropoda,Merostomata,Eurypterida,Mycterops ordinatus,species,Paleozoic,Carboniferous,Pennsylvanian,Moscovian,Carboniferous,Pennsylvanian,Moscovian,Brandt 2021,1.10,maximum length,Brandt 2021,,Micropredator,Benthic,Coastal,Stylonurina; benthic scavengers / benthic sweep-feeders,Lamsdell & Braddy 2009,Permian-Triassic extinction event,Lamsdell & Braddy 2009,"315.2 – 307; PBDB the same; K: Habitat for Eurypterids based on Tetlie, 2007, stating that majority of Eurypterid fossils were found in near-shore, estuarine sediments",SR,
Invert,Mollusca,Trilobita,Asaphida,Ogyginus forteyi ,species,Paleozoic,Ordovician,Lower Ordovician,,Ordovician,Upper Ordovician,,Gutiérrez-Marco et al. 2009,0.76,TL,Gutiérrez-Marco et al. 2009,Portugal,Macropredator,Benthic,Coastal,polymerid morphology: benthic to nektobenthic,Babcock et al. 2017,Permian mass extinction,Pais 2004,Primary Reference but PDf to be bought,Sheldon,
Invert,Arthropoda,Trilobita,Asaphida,Opsimasaphus nobilis,species,Paleozoic,Ordovician,Lower Ordovician,,Ordovician,Middle Ordovician,,Turvey 2007,0.69,TL,Bell & Braddy 2012,China,Macropredator,Benthic,Coastal,polymerid morphology: benthic to nektobenthic,Babcock et al. 2017,Permian mass extinction,Pais 2004,,Sheldon,
