Group,Clade,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Mammal,Carnivora,Carnivora,Callorhinus gilmorei,species,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pleistocene,Pleistocene,"R. W. Boessenecker. 2011. A new marine vertebrate assemblage from the Late Neogene Purisima Formation in Central California, Part I: Fossil sharks, bony fish, birds, and implications for the age of the Purisimia Formation west of the San Gregorio Fault. PalArch's Journal of Vertebrate Palaeontology ; R. Boessenecker. 2007. New records of fossil fur seals and walruses (Carnivora, Pinnipedia) from the late Neogene of northern California. Journal of Vertebrate Paleontology",2.20,ML,M.Churchill et al. 2014 Evolution,North America; Asia,Macropredator,Pelagic,Coastal,mesopredator/pelagic,Pimiento et al. 2017 Nature Ecology & Evolution,survived Pliocene Ext.,Pimiento et al. 2017 Nature Ecology & Evolution,"Otariidae, Piacenzian: 2m ML , Zanclean: 2,2m ML",CS,
Mammal,Cetacea,Cetacea,Cetotherium,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Pleistocene,Pleistocene,Pia & Sickenberg 1934 Katalog der in den Osterreichischen sammlungen befindlichen Saugetierreste des Jung-Tertiars Osterreichs un der Randgebiete. Denkschriften des Naturhistorischen Museums in Wien ; Bogachev 1940 A finding of a new sea mammal in the Apsheron stage near Baku. Priroda,4.00,TL,Gol'din et al. 2014 ACTA PALAEONTOLOGICA POLONICA,Europe; North America; Asia,Micropredator,Pelagic,Coastal/Oceanic,"micropredator, pelagic, coastal/oceanic; A functional analysis of C. riabinini suggests that this Eastern Paratethyan cetotheriid was primarily a benthic suction feeder intermediate between continuous suction feeders such as Herpetocetus and intermittent suction feeders such as Eschrichtus",Pimiento et al. 2017 Nature Ecology & Evolution; Berta et al. 2016 Integrative and Comparative Biology,,,"species: riabinini, rathkii, estimated 2.91m (riabinini), 970mm skull lenght is approx. 1/3 of estimated body lenght (riabinini), fossil: partial skeleton, nearly complete skull (riabinini), max size based on rathkii species",GH,
Mammal,Cetacea,Cetacea,Choneziphius,genus,Cenozoic,Neogene,Miocene,,Neogene,Pleistocene,Pleistocene,Weber 1917 Über Choneziphius planirostris (G. Cuv.) aus der Westerschelde. Sammlungen des Geologischen Reichs-Museum in Leiden ; Lydekker 1887 The Cetacea of the Suffolk Crag. Quarterly Journal of the Geological Society of London,3.00,TL,Pimiento et. al 2017,North America; Europe,Macropredator,Pelagic,Oceanic,"mesopredator, pelagic, oceanic",Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,species: planirostris,GH,
Mammal,Desmostylia,Desmostylia,Cornwallius,genus,Cenozoic,Paleogene,Oligocene,Chattian,Paleogene,Oligocene,Chattian,"Beatty 2006 B. L. Beatty. 2006. Specimens of Cornwallius sookensis (Desmostylia, Mammalia) from Unalaska Island, Alaska. Journal of Vertebrate Paleontology 26(3):785-787",NA,,,North America,Herbivore,Benthic,Coastal,amphibious herbivore; foraging on aquatic vegetation,Domning et al. 1986; PBDB,,,Esin: No max. body size (length) found,CS,
Mammal,Sirenia,Sirenia,Corystosiren,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,Domning 1990 Journal of Vertebrate Paleontology 10(3); Domning 2001 Nature 413,6.00,TL,Pimiento et al. 2017,North America,Herbivore,Benthic,Coastal,herbivore/benthic/coastal/endotherm,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,,SK,
Mammal,Desmostylia,Desmostylia,Desmostylus,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Upper Miocene,Shikama 1966,2.50,TL,Gingerich 2005,North America; Asia,Herbivore,Benthic,Coastal,amphibious herbivore; foraging on aquatic vegetation,Domning et al. 1986,"replaced my Sirenians during late Miocene, competition for food ",Berta et al. 2020 Palaeontologia Electronica,size estimate based on average size of polar bear because according to Gingerich 2005 Desmostylus similar in size to polar bears; based on skeleton of Desmostylus hesperus,SK,
Mammal,Sirenia,Sirenia,Dioplotherium allisoni,species,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Pliocene,Pliocene,Domning 1978; Conkling 1991,5.34,TL,Sarko et al. 2010,South America; North America,Herbivore,Benthic,Coastal,herbivore/benthic/coastal/endotherm,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,Domning 1978 not found online; Conkling 1991 for purchase; estimates of body length based on regression analyses,SK,
Mammal,Sirenia,Sirenia,Dioplotherium manigaulti,species,Cenozoic,Paleogene,Oligocene,Chattian,Neogene,Miocene,Middle Miocene,Domning 1989,4.03,TL,Sarko et al. 2010,North America,Herbivore,Benthic,Coastal,herbivore/benthic/coastal/endotherm,Pimiento et al. 2017 Nature Ecology & Evolution,,,Domning 1989 not found online; estimates of body length based on regression analyses,SK,
Mammal,Cetacea,Cetacea,Diorocetus,genus,Cenozoic,Neogene,Miocene,Lower Miocene,Neogene,Miocene,Middle Miocene,Kimura & Hasegawa 2004 Bulletin of the Gunma Museum of Natural History ; Shattuck 1904 Maryland Geological Survey Miocene Text,5.39,TL,Pyenson & Sponberg 2011 Journal of Mammal Evolution,Asia; North America; Europe,Micropredator,Pelagic,Coastal,,Tanaka et al. 2019; PBDB,,,"species: hiatus, size prediction based on hiatus, max size is maximum bound of prediction interval using PLS method, maximum bound of prediction range is 10,16m",GH,
Mammal,Carnivora,Carnivora,Dusignathus,genus,Cenozoic,Neogene,Pliocene,Pliocene,Neogene,Pliocene,Pliocene,"Boessenecker R.W 2013, A new marine vertebrate assemblage from the Late Neogene Purisima Formation in Central California, part II: Pinnipeds and Cetaceans",2.80,TL,Velez-Juarbé et al. 2018 Royal Society ,North America,Macropredator,Benthic,Coastal,mesopredator/benthic,Pimiento et al. 2017 Nature Ecology & Evolution,pliocene extinction,Pimiento et al. 2017 Nature Ecology & Evolution,"Odobenidae, 2,8m based on D. seftoni, D. santacruzensis 2,5m ; 5-2.5 Ma",CS,
