Group,Clade,Class,Order,Taxa,Taxonomic_rank,Era,Early_Period,Early_Epoch,Early_Stage,Late_Period,Late_Epoch,Late_Stage,Age_ref,Max_size_m,Size_type,Size_ref,Distribution,Guild,Vertical,Habitat,Ecology_notes,Ecology_ref,Extinction,Extinction_ref,Notes,Enterer,Age_check
Fish,Sarcopterygii,Sarcopterygii,Dipnomorpha,Palaedaphus insignis,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,Albert et al. 2009,2.00,TL,"Albert et al. 2009, Long 1995",Europe,,,, ,,,,,AG,
Fish,Placodermi,Placodermi,Ptyctodontida,Palaeomylus fragens,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Carr 1995,2.70,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Placodermi,Placodermi,Ptyctodontida        ,Palaeomylus greenei ,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Middle Devonian,,Carr 1995,2.30,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Placodermi,Placodermi,Ptyctodontida        ,Palaeomylus hussakofi,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,Carr 1995,2.30,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Placodermi,Placodermi,Ptyctodontida        ,Palaeomylus lunaeformis,species,Paleozoic,Devonian,Upper Devonian,,Devonian,Upper Devonian,,Carr 1995,1.50,TL,Sallan 2015,,,,, ,,,,,mr,
Fish,Actinopterygii,Actinopterygii,Scombriformes        ,Palaeorhynchus glarisianum,species,Cenozoic,Paleogene,Oligocene,,Paleogene,Oligocene,,M. Pauca and M. Ciobanu,1.50,TL,Harry L. Fierstine 2006,Europe,,,, ,,,,,mr,
Fish,Sarcopterygii,Sarcopterygii,Osteolepiformes,Panderichthys rhombolepis,species,Paleozoic,Devonian,Middle Devonian,,Devonian,Upper Devonian,,"Albert et al. 2009, Mark-Kurik 2000",1.45,TL,"Albert et al. 2009, Laurin 2004",Europe,,,, ,,,,,AG,
Fish,Osteostraci,Osteostraci,,Parameteoraspis,genus,Paleozoic,Devonian,Lower Devonian,,Devonian,Lower Devonian,,Albert et al. 2009,1.00,TL,Albert et al. 2009,Europe,,,, ,,,,,mr,
Fish,Actinopterygii,Actinopterygii,Tselfatiiformes,Paranogmius,genus,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,Weiler 1935,3.00,TL,Guinot & Cavin 2017,Africa,,,, ,,,,,,
Fish,Actinopterygii,Actinopterygii,Tselfatiiformes,Pentanogmius evolutus,species,Mesozoic,Cretaceous,Upper Cretaceous,,Cretaceous,Upper Cretaceous,,Shimada 2016,1.65,TL,Shimada 2016,United States of America,,,, ,,,,french document,"AG, IM",
