accepted_name_clean,identified_name_clean
Proganochelys quenstedtii,Proganochelys quenstedti
Prognathodon mosasauroides,Liodon mosasauroides
Prognathodon sectorius,Liodon sectorius
Prognathodon sectorius,Tylosaurus sectorius
Prognathodon sectorius,Prognathodon sectorius
Egyptemys eocaenus,Psephophorus eocaenus
Rhomaleosaurus cramptoni,Plesiosaurus cramptoni
Rhomaleosaurus cramptoni,Thaumatosaurus cramptoni
Rhomaleosaurus zetlandicus,Plesiosaurus zetlandicus
Seeleyosaurus guilelmiimperatoris,Plesiosaurus guilelmiimperatoris
Shastasaurus sikkaniensis,Shonisaurus sikanniensis
Simosaurus gaillardoti,Simosaurus guilielmi
Macrospondylus bollensis,Steneosaurus bollensis
Neosteneosaurus edwardsi,Steneosaurus edwardsi
Styxosaurus snowii,Cimoliasaurus snowii
Styxosaurus snowii,Elasmosaurus snowii
Styxosaurus,Elasmosaurus marshii
Taniwhasaurus antarcticus,Lakumasaurus antarcticus
Torvoneustes carpenteri,Dakosaurus carpenteri
Tylosaurus nepaeolicus,Liodon nepaeolicus
Aglaocetus moreni,Cetotherium moreni
Allodesmus sinanoensis,Eumetopias sinanoensis
Atocetus nasalis,Pithanodelphis nasalis
Marzanoptera bertae,Balaenoptera bertae
Balaenoptera davidsonii,Eschrichtius davidsonii
Balaenula balaenopsis,Balaena balaenopsis
Balaenula forsythmajori,Balaena forsythmajori
Basilosaurus cetoides,Zeuglodon cetoides
Basilosaurus isis,Zeuglodon isis
Bohaskaia monodontoides,Bohaskia monodontoides
Choneziphius planirostris,Ziphius planirostris
Choneziphius planirostris,Choneziphius planirostris
Dioplotherium allisoni,Halianassa allisoni
Dusisiren jordani,Metaxytherium jordani
Etruridelphis giulii,Stenella giulii
Hemisyntrachelus oligodon,Tursiops oligodon
Hemisyntrachelus cortesii,Tursiops cortesii
Hemisyntrachelus cortesii,Delphinus cortesii
Herpetocetus,Mizuhoptera kanayaensis
Herpetocetus,Mizuhoptera fujinensis
Homiphoca capensis,Prionodelphis capensis
Hydrodamalis gigas,Rhytina stelleri
Kentriodon obscurus,Grypolithax obscura
Kentriodon fuchsii,Atocetus fuchsii
Kentriodon fuchsii,Champsodelphis fuchsii
Kentriodon fuchsii,Acrodelphis fuchsii
Livyatan melvillei,Leviathan melvillei
Metaxytherium subapenninum,Felsinotherium subapenninum
Orcinus citoniensis,Orca citoniensis
Oriensarctos watasei,Eumetopias watasei
Physeterula dubusi,Physeterula dubusii
Pontolis magnus,Pontoleon magnus
Rodhocetus kasranii,Rodhocetus kasrani
Septemtriocetus bosselaersi,Septemriocetus bosselaersi
Squalodon bellunensis,Squalodon bellunense
Xiphiacetus bossi,Eurhinodelphis bossi
